creation_date	term	definition	user_name	source
2017-03-02 10:23:56.063972	SIADE	Système Interne d'Api De l'Etat	alexis	glossbot-betagouv
2017-03-15 15:40:27.050555	agefiph	Association de gestion du fonds pour l'insertion des personnes handicapées	alexis	glossbot-betagouv
2016-06-15 17:22:40.451524	DAJ	Direction des Affaires Juridiques	colin	glossbot-betagouv
2016-06-15 18:24:25.561624	PGO	Partenariat pour un Gouvernement Ouvert (OGP en anglais)	colin	glossbot-betagouv
2016-06-28 12:03:53.436832	MENESR	Ministère de l'Éducation Nationale, de l'Enseignement Supérieur et de la Recherche	colin	glossbot-betagouv
2016-09-05 13:42:07.977298	DJPEVA	Direction de la Jeunesse, de l'Education Populaire et de la Vie Associative	colin	glossbot-betagouv
2016-10-19 10:01:22.410519	DcANT	Développement concerté de l'administration numérique territoriale	colin	glossbot-betagouv
2016-10-19 10:05:24.082085	DGCL	Direction Générale des Collectivités Locales	colin	glossbot-betagouv
2016-10-19 10:16:40.505424	UGAP	Union des Groupements d'Achats Public	colin	glossbot-betagouv
2016-10-25 16:55:24.023465	CAO	Commission Appel d'Offres (marchés publics)	colin	glossbot-betagouv
2016-10-25 17:01:36.356565	DRAAF	Direction Régionale de l'Alimentation, de l'Agriculture et de la Forêt	colin	glossbot-betagouv
2017-01-11 15:02:35.126666	ANAH	Agence nationale de l'habitat	colin	glossbot-betagouv
2017-01-11 15:03:18.771307	MDPH	Maison Départementale pour les Personnes Handicapées	colin	glossbot-betagouv
2016-06-21 14:30:34.897002	IMPACT	Innover et moderniser les processus MDPH pour l’accès à la compensation sur les territoires	florian	glossbot-betagouv
2017-04-20 09:15:46.06101	SIDSIC	Service interministériel départemental et systèmes d’information et de communication	florian	glossbot-betagouv
2016-09-08 09:08:46.93596	CRAMIF	Caisse régionale d'assurance maladie d’Île de France	fpagnoux	glossbot-betagouv
2017-04-19 15:17:15.478571	PR	Président de la République\r\nPull Request	gnovel	glossbot-betagouv
