"term","definition","user_name","source","creation_date"
"AAH","Allocation pour l'Adulte atteint de Handicap","jerome","glossbot-betagouv","2016-11-15 07:58:58.75704"
"AAI","Autorité Administrative Indépendante","vince","glossbot-betagouv","2017-02-15 16:28:32.073162"
"AAPC","'Avis d'Appel Public à la Concurrence'","nicolas","glossbot-betagouv","2017-03-07 13:42:26.961713"
"ACOSS","Agence Centrale des Organismes de Sécurité Sociale","vince","glossbot-betagouv","2016-11-18 09:09:39.672177"
"AE","Autorisation d'Engagement","vince","glossbot-betagouv","2016-10-10 12:30:28.13979"
"AFAFAF","Associations Foncières d’Aménagement Foncier Agricole et Forestier","vince","glossbot-betagouv","2017-01-12 20:01:26.455889"
"AFAIK","As Far As I Know","vince","glossbot-betagouv","2016-07-13 17:01:32.861004"
"AFAQ","association française de l’assurance qualité","mattisg","glossbot-betagouv","2016-06-24 17:12:04.66796"
"AGD","Administrateur Général des Données - Équipe de datascientists de la DINSIC qui travaille avec les données (ouvertes ou fermées) de l'administration.","mattisg","glossbot-betagouv","2016-06-15 17:06:30.496113"
"agefiph","Association de gestion du fonds pour l'insertion des personnes handicapées","alexis","glossbot-betagouv","2017-03-15 15:40:27.050555"
"ALUR","loi pour l'Accès au Logement et un Urbanisme Rénové; visant à faciliter la régulation des marchés immobiliers et encadrer les pratiques abusives; favoriser l’accès au logement des ménages et développer l’innovation et la transparence","sycom","git","2017-05-11 12:45:00.000000"
"AMOA","Assistance à la maîtrise d’ouvrage (cf. http://bit.ly/amoa1234)","maukoquiroga","glossbot-betagouv","2016-07-20 09:56:32.992356"
"ANAH","Agence nationale de l'habitat","colin","glossbot-betagouv","2017-01-11 15:02:35.126666"
"ANN","Agence Nationale du Numérique","mattisg","glossbot-betagouv","2016-09-28 10:44:02.32576"
"ANSA","Agence Nouvelle des Solidarités Actives","mattisg","glossbot-betagouv","2016-09-28 10:44:18.410634"
"APB","‘Admission Post Bac'","nicolas","glossbot-betagouv","2017-02-24 10:10:58.534065"
"APE","Agences pôle emploi","maukoquiroga","glossbot-betagouv","2016-06-16 10:19:35.1151"
"APEC","Association pour l'emploi des cadres","maukoquiroga","glossbot-betagouv","2016-06-16 10:04:00.196707"
"APPI","Application des Peines Probation Insertion (logiciel informatique - France)","mattisg","glossbot-betagouv","2016-06-24 17:12:12.559993"
"ASA","Associations Syndicales Autorisées","vince","glossbot-betagouv","2017-01-12 20:02:14.649125"
